"Date","Offense type","Observations"
2022-06-30,"Acts Intended To Cause Injury",21.2
2022-06-30,"Unlawful Entry With Intent/Burglary",9.4
2022-06-30,"Homicide",10
2022-06-30,"Illicit Drug Offences",8.1
2022-06-30,"Robbery, Extortion",7.8
2022-06-30,"Offences Against Justice",5.3
2022-06-30,"Theft",3.7
2022-06-30,"Abduction, Harassment",3.7
2022-06-30,"Prohibited And Regulated Weapons",2
2022-06-30,"Traffic",1.7
2022-06-30,"Fraud, Deception",1.7
2022-06-30,"Property Damage",1.3
2022-06-30,"Public Order",0.5
2022-06-30,"Dangerous Or Negligent Acts",0.5
2022-06-30,"Miscellaneous Offences",0
2022-06-30,"Unknown",0.2
2022-06-30,"Violence",0
2022-06-30,"Drugs",0
2022-06-30,"Dishonesty",0
2022-06-30,"Other",0
2022-06-30,"Weapons",0
2022-06-30,"Breaches",0
2022-09-30,"Sexual Assault",22.1
2022-09-30,"Acts Intended To Cause Injury",20.9
2022-09-30,"Unlawful Entry With Intent/Burglary",9.4
2022-09-30,"Homicide",9.8
2022-09-30,"Illicit Drug Offences",8.5
2022-09-30,"Robbery, Extortion",7.4
2022-09-30,"Offences Against Justice",5.2
2022-09-30,"Theft",4.2
2022-09-30,"Abduction, Harassment",3.6
2022-09-30,"Prohibited And Regulated Weapons",2
2022-09-30,"Traffic",1.9
2022-09-30,"Fraud, Deception",1.9
2022-09-30,"Property Damage",1.6
2022-09-30,"Public Order",0.6
2022-09-30,"Dangerous Or Negligent Acts",0.7
2022-09-30,"Miscellaneous Offences",0.1
2022-09-30,"Unknown",0.1
2022-09-30,"Violence",0
2022-09-30,"Drugs",0
2022-09-30,"Dishonesty",0
2022-09-30,"Other",0
2022-09-30,"Weapons",0
2022-09-30,"Breaches",0
2022-12-31,"Sexual Assault",22.1
2022-12-31,"Acts Intended To Cause Injury",20.3
2022-12-31,"Unlawful Entry With Intent/Burglary",9.7
2022-12-31,"Homicide",9.6
2022-12-31,"Illicit Drug Offences",8.6
2022-12-31,"Robbery, Extortion",7.3
2022-12-31,"Offences Against Justice",5.5
2022-12-31,"Theft",4.4
2022-12-31,"Abduction, Harassment",3.5
2022-12-31,"Prohibited And Regulated Weapons",2.4
2022-12-31,"Traffic",2
2022-12-31,"Fraud, Deception",1.8
2022-12-31,"Property Damage",1.5
2022-12-31,"Public Order",0.6
2022-12-31,"Dangerous Or Negligent Acts",0.5
2022-12-31,"Miscellaneous Offences",0
